name,iata,icao,country,lat,lon
A Coruna Airport,LCG,LECO,Spain,43.302059,-8.37725
Aachen Merzbruck Airport,AAH,EDKA,Germany,50.821899,6.184759
Aalborg Airport,AAL,EKYT,Denmark,57.095112,9.855172
Aalen Elchingen Airport,QME,EDPA,Germany,48.777927,10.264953
Aarhus Airport,AAR,EKAH,Denmark,56.303295,10.619129
Aarhus Sea Airport,QEA,EKAC,Denmark,56.151993,10.247725
Aasiaat Airport,JEG,BGAA,Greenland,68.72184,-52.784698
Abadan Airport,ABD,OIAA,Iran,30.371111,48.228329
Abaiang Airport,ABF,NGAB,Kiribati,1.79904,173.040268
Abakan International Airport,ABA,UNAA,Russia,53.740002,91.385002
Abbeyshrule Airport,QIH,EIAB,Ireland,53.591366,-7.643234
Abbotsford International Airport,YXX,CYXX,Canada,49.025269,-122.360001
Abemama Airport,AEA,NGTB,Kiribati,0.49094,173.829086
Aberdeen International Airport,ABZ,EGPD,United Kingdom,57.201939,-2.19777
Aberdeen Phillips Army Airfield,APG,KAPG,United States,39.465496,-76.168198
Aberdeen Regional Airport,ABR,KABR,United States,45.439999,-98.419998
Abha Regional Airport,AHB,OEAB,Saudi Arabia,18.24036,42.65662
Abidjan Port Bouet Airport,ABJ,DIAP,Ivory Coast,5.261386,-3.92629
Abilene Regional Airport,ABI,KABI,United States,32.411301,-99.681801
Abingdon Downs Airport,ABG,YABI,Australia,-17.607372,143.183395
Abingdon Virginia Highlands Airport,VJI,KVJI,United States,36.686111,-82.033333
Abu Dhabi Al Bateen Executive Airport,AZI,OMAD,United Arab Emirates,24.428329,54.45808
Abu Dhabi Al Dhafra Air Base,DHF,OMAM,United Arab Emirates,24.248199,54.547699
Abu Dhabi Zayed International Airport,AUH,OMAA,United Arab Emirates,24.442856,54.651474
Abu Musa Island Airport,AEU,OIBA,Iran,25.8757,55.033001
Abu Simbel Airport,ABS,HEBL,Egypt,22.37595,31.611719
Abuja Nnamdi Azikiwe International Airport,ABV,DNAA,Nigeria,9.006792,7.263172
Acandi Alcides Fernandez Airport,ACD,SKAD,Colombia,8.498886,-77.27417
Acapulco International Airport,ACA,MMAA,Mexico,16.757059,-99.753899
Acarigua Oswaldo Guevara Mujica Airport,AGV,SVAC,Venezuela,9.553295,-69.237045
Accra Kotoka International Airport,ACC,DGAA,Ghana,5.605186,-0.16678
Ada Municipal Airport,ADT,KADH,United States,34.804298,-96.671303
Adado Airport,AAD,HCAD,Somalia,6.09578,46.637146
Adak Airport,ADK,PADK,United States,51.87796,-176.645996
Adampur Airport,AIP,VIAX,India,31.433056,75.760559
Adana Incirlik Airport,UAB,LTAG,Turkey,37.001099,35.424721
Adana Sakirpasa Airport,ADA,LTAF,Turkey,36.982159,35.28038
Addis Ababa Bole Airport,ADD,HAAB,Ethiopia,8.977889,38.799309
Adelaide Airport,ADL,YPAD,Australia,-34.947392,138.533417
Adelaide Parafield Airport,QBP,YPPF,Australia,-34.793682,138.635376
Aden International Airport,ADE,OYAA,Yemen,12.82954,45.02879
Adiyaman Airport,ADF,LTCP,Turkey,37.731361,38.468929
Adrar Airport,AZR,DAUA,Algeria,27.83758,-0.18641
Adrian Lenawee County Airport,ADG,KADG,United States,41.86607,-84.078293
Afton Municipal Airport,AFO,KAFO,United States,42.711201,-110.942001
Agades Mano Dayak International Airport,AJY,DRZA,Niger,16.96599,8.000114
Agadir Al Massira Airport,AGA,GMAD,Morocco,30.324989,-9.41306
Agartala Airport,IXA,VEAT,India,23.886971,91.240448
Agatti Airport,AGX,VOAT,India,10.82365,72.176041
Agen La Garenne Airport,AGF,LFBA,France,44.174709,0.590619
Aghajari Airport,AKW,OIAG,Iran,30.7444,49.6772
Agra Airport,AGR,VIAG,India,27.15583,77.960892
Agri Ahmed-i Hani Airport,AJI,LTCO,Turkey,39.655582,43.025818
Agua Boa Airport,GGB,SWHP,Brazil,-14.019444,-52.152222
Aguachica Hacaritama Airport,HAY,SKAG,Colombia,8.246203,-73.579628
Aguadilla Rafael Hernandez Airport,BQN,TJBQ,Puerto Rico,18.49486,-67.129402
Aguascalientes International Airport,AGU,MMAS,Mexico,21.705549,-102.317001
Aguni Airport,AGJ,RORA,Japan,26.592718,127.240433
Ahe Airport,AHE,NTHE,French Polynesia,-14.42759,-146.255981
Ahmedabad International Airport,AMD,VAAH,India,23.07724,72.634651
Ahwaz International Airport,AWZ,OIAW,Iran,31.337429,48.761951
Aiken Municipal Airport,AIK,KAIK,United States,33.649399,-81.684998
Ainsworth Regional Airport,ANW,KANW,United States,42.577194,-99.99649
Airai Roman Tmetuchl International Airport,ROR,PTRO,Palau,7.367303,134.544205
Aitutaki Airport,AIT,NCAI,Cook Islands,-18.8309,-159.764008
Aix-en-Provence Airport,QXB,LFMA,France,43.505264,5.367415
Aizawl Lengpui Airport,AJL,VELP,India,23.838442,92.620361
Ajaccio Napoleon Bonaparte Airport,AJA,LFKJ,France,41.923882,8.8025
Akhiok Airport,AKK,PAKH,United States,56.938873,-154.181931
Akiak Airport,AKI,PFAK,United States,60.902901,-161.231003
Akita Airport,AXT,RJSK,Japan,39.615551,140.218597
Aklavik Airport,LAK,CYKD,Canada,68.223297,-135.005997
Akron Canton Airport,CAK,KCAK,United States,40.91608,-81.442101
Akron Colorado Plains Regional Airport,AKO,KAKO,United States,40.175499,-103.221703
Akron Fulton International Airport,AKC,KAKR,United States,41.037498,-81.466904
Aksu Airport,AKU,ZWAK,China,41.262501,80.291664
Aktau Airport,SCO,UATE,Kazakhstan,43.86005,51.091969
Aktion National Airport,PVK,LGPZ,Greece,38.925461,20.76531
Aktobe Airport,AKX,UATT,Kazakhstan,50.245831,57.206661
Akulivik Airport,AKV,CYKO,Canada,60.818611,-78.148613
Akure Airport,AKR,DNAK,Nigeria,7.246739,5.301008
Akureyri Airport,AEY,BIAR,Iceland,65.658607,-18.072201
Akutan Airport,KQA,PAUT,United States,54.145771,-165.606537
Al Ain International Airport,AAN,OMAL,United Arab Emirates,24.26166,55.609161
Al Asad Air Base,IQA,ORAA,Iraq,33.785599,42.4412
Al Ghaydah Airport,AAY,OYGD,Yemen,16.193453,52.175129
Al Hoceima Cherif Al Idrissi Airport,AHU,GMTA,Morocco,35.177101,-3.83952
Al Najaf International Airport,NJF,ORNI,Iraq,31.991667,44.404167
Al Udeid Air Base,XJD,OTBH,Qatar,25.114941,51.316105
